148,8B57-58A0B378F8A1,En el año 2004 tuve la oportunidad de participar en la revisión de programas de asignatura proponiendo el curso denominado Ingeniería de Materiales que fue aprobado por el HCDU para la Carrera de Ingeniero Mecánico Electricista en 2004. He colaborado con l
149,B91E-9B0E4E43E39D,OBTENCION DE RECURSOS PARA LA COMPRA DE SOFTWARES  EQUIPOS Y DISPOSITIVOS PARA LOS LABORATORIOS DEL AREA DE METALRGIA Y MATERIALES.  ACTUALIZACION DE LOS CONTENIDOS CURRICULARES DE PROGRAMAS ESCOLARES DEL AREA DE METALURGIA Y MATERIALES
150,B123-7C877DBA76B8,Participación en la transformación de la carrera de Ingeniero metalurgista  primero en las carreras de Ingeniero Metalurgista Extractivo y la creación de la carrera de Ingeniero Metalurgista de transformación auspiciada por el Proyecto multinacional de met
153,8B55-2FD9C2CDB9DB,Modificación curricular 2019 de la carrera de ingeniería ambiental. Cambios en los programas analíticos de Biodiversidad y Evolución (se agregó una hora  se incorporaron prácticas de campo y aumento en un crédito)  Ecología General (se especificaron los mé
154,8B62-87B4C529460A,Reestructuración de los programas de las materias que imparto.  Apoyo a la coordinación.  Actualización permanente de los alumnos en los temas que imparto en la Facultad.  Apoyo académico al Posgrado en Metalurgia e Ingeniería de Materiales  2018-2024.  
155,A8DF-1E597B3CE75A,HE PARTICIPADO EN EL DISEÑO DE PROGRAMA DE ENSEÑANZA DENTRO DE LA FACULTAD DE INGENIERÍA EN LAS ÁREAS DE CIVIL  AGROINDUSTRIAL  GEOMÁTICA Y MECÁNICA ELÉCTRICA   SIENDO MIEMBRO ACTIVO DE LAS ACADEMIAS CORRESPONDIENTES .  HE SIDO PRESIENTE Y SECRETARIO DE LA
156,91D7-34FF3F297B62,Participación relevante en el diseño y la actualización constante del PE. Coordinador Académico  Responsable de Vinculación y Miembro del Comité Académico de Prácticas Profesionales del PE. Diseño e impartición de asignatura(s); Presidente de Academia y Mi
160,AC0C-96144F0179CC,En los años en los que he pertenecido al PE tuve varios cargos  como Presidente de la Academia de Evaluación y Gestión Ambiental  periodo de Ene 2011-Sep 2016  posteriormente Secretario de Academia de Ing. Amb de Feb 2017-Sep 2018  y Presidente de Academia
161,A788-04291196914D,"Diseño de los manuales de laboratorio para las materias de ""Diseño de Sistemas Digitales"" y ""Microcontroladores"". Participación en las ferias de universidades como expositor para la atracción de talentos en nuevos estudiantes."
162,9AC3-2DA92C92DF7C,El Dr. Cristóbal Alberto Pérez Alonso es miembro de las Academiad de Metalurgia y de Materiales de la facultad de Ingenieria UASLP.  Ha participado en la revisión y ajustes a los programa de las materias de Computación y Métodos Numéricos con el propósito 
163,A5A7-43F2C26C43A5,Participa en las Academias Materiales de la Corteza y Geología Básica  elaboración del Manual de prácticas y ejercicios de Laboratorio de Petrología ígnea  actualización del Plan de estudios de la materia de Petrología ígnea  Geología Básica I y II de la c
164,A16C-AFA7E8FEEA6F,Constancia de participación por el diseño y ajuste de los 15 programas educativos PE de la Facultad de Ingeniería UASLP
165,8054-94BD7091D401,Ajustes curriculares de las asignaturas: Desarrollo Sostenible  Economía Ambiental  y Ordenamiento Ecológico  Territorial y Urbano  que se imparten en la carrera de Ingeniería Ambiental de la Facultad de Ingeniería de la Universidad Autónoma de San Luis Po
166,AB90-245EB7372B3D,Participación como Secretaria de la Academia de Economía y Finanzas en el 2016-2018.   Participación como Presidente de la Academia de Economía y Finanzas em el periodo 2018-2020  Participación como Presidente  y Secretario de la Academia de Calidad en los
167,97B0-E40EC464619C,Dentro del Cuerpo Colegiado de la Academia de Geología Aplicada se realizaron cambios al programa analítico de la materia de Geología del Petróleo y también se realizó el cambio de la materia del séptimo semestre al octavo por considerarse necesario que lo
168,AECC-3717A5139483,PARTICIPACIÓN ACTIVA EN TODOS LAS REESTRUCTURACIONES DE LOS PLANES DE ESTUDIO DEL PROGRAMA DE INGENIERÍA AGROINDUSTRIAL (DEL 2008-A LA FECHA)
169,BF99-069AB1B1876E,Participación en el comité para la preparación de la acreditación ante CACEI 2021  Participación en la comisión de desarrollo curricular.  Actualización de las asignaturas de química ambiental y química de soluciones  Participación en la preparación de evi
171,A319-B3099653A086,Se han modificado y actualizado los planes educativos de las materias de Sedimentología  Estratigrafía y Petrología y Petrografía Sedimentaria 
172,9CD4-C3F1E58742DD,He participado activamente en el programa de metalurgia y materiales como coordinador del programa  miembro de la comisión de acreditación y miembro activo de las academias de fundamentales y extractiva. Además  a partir del 2020 soy el Jefe del área de me
173,8F89-F58A927A68DD,Participación en el ajuste curricular del  2021  estos cambios que contribuyen a fortalecer las distintas necesidades de formación integral de los jóvenes que actualmente cursan cualquier carrera de ingeniería de la Facultad. Para potenciar las habilidades
178,A57D-3A05F840F619,Formación académica en Agronomía  especialista en Suelos  luego a la Botánica  en especial a la Ecología de plantas. Mi experiencia profesional me ha permitido conocer diferentes instituciones  desde operativas  como en su momento la SEMARNAP (Subdelegado 
179,BC92-8E3D54432C8E,Se ha participado activamente en la actualización de los programas de las materias relacionadas con computación aplicada tomando como referencia los comentarios de los empleadores y egresados  así como la búsqueda de convenios con los desarrolladores de so
185,961E-D1D3CBCC7E87,He impartido en la materia de Excursiones Geológicas II el módulo de Exploración Geofísica  aportando por primera vez al alumno de licenciatura conocimientos de electromagnetismo aplicado a proyectos geológicos. Así mismo  se impartió por primera vez el cu
186,A789-29AD6B988B66,Re-diseño del programa de la materia de Hidorología en el año 2019; el diseño incluyó nuevos temas para el programa de la materia. Presidente de la Academia de Geología Aplicada desde septiembre de 2020 a la fecha.
