46,B5AB-202D985E099D,In recognitin of their completion of the Royal Academy of Engineering Leaders in Innovation Fellowsips Programme,2021,Royal Academy of Engineering Inglaterra ,30
48,ABEE-70E67AFB9226,"Curso ""Tratamiento de aguas residuales mediante humedales""",2017,Instituto Mexicano de Tecnología del Agua México,24
57,8012-B07EC3B654AF,Curso Estrategias de comunicación efectiva,2014,Universidad del Centro de México México,20
58,8012-B07EC3B654AF,Taller La Reflexión de la Práctica Educativa,2015,CINADE México,40
59,8012-B07EC3B654AF,Formación de Facilitadores para el programa gerencial,2011,CMIC México,30
60,8012-B07EC3B654AF,Formación de Facilitadores para la Planeación Estratégica,2009,UASLP México,25
61,AF61-CCDA86355C16,DIPLOMADO EN PROYECTO  CONSTRUCCIÓN Y CONSERVACIÓN DE CARRETERAS,2016,INSTITUTO MEXICANO DEL TRANSPORTE MEXICO,96
62,BC92-8E3D54432C8E,Curso para desarrollo de investigación científica IV,2016,Universidad Autónoma de Zacatecas México,48
63,BC92-8E3D54432C8E,Curso para desarrollo de investigación científica V,2016,Universidad Autónoma de Zacatecas México,48
64,BC92-8E3D54432C8E,Escritura de publicaciones científicas II,2016,Universidad Autónoma de Zacatecas México,48
65,B548-C001774C5E41,SISTEMAS DE PERMISOS DE TRABAJOS CON RIESGO,2021,MANOXI México,24
66,B548-C001774C5E41,TECNICO VERIFICADOR DE GASES,2021,MANOXI MEXICO,8
67,B548-C001774C5E41,RIG PASS,2021,MANOXI MEXICO,16
68,B548-C001774C5E41,MANEJO A LA DEFENSIVA,2021,CÉSAR EDGAR CORDOBA BOLIO México,16
69,B548-C001774C5E41,MANEJO DE EXTINTORES,2021,CÉSAR EDGAR CORDOBA BOLIO México,8
70,B548-C001774C5E41,REANIMACIÓN CARDIO PULMONAR,2021,CÉSAR EDGAR CORDOBA BOLIO México,16
76,B260-9109B86AFBA4,Taller ?Urban Sustainability Collaboration betwwn Mexico and Germany,2018,Universidad Autónoma de San Luis Potosí- ITT Alemania México,20
77,B260-9109B86AFBA4,"Curso-taller ""Manejo de Software Atlas ti para investigación cualitativa""",2019,Universidad Autónoma de San Luis Potosí- Universidad Autónoma de Tlaxcala México,20
78,B260-9109B86AFBA4,"Taller ""La trascendencia del arte en la educación para la sustentabilidad?",2019,Universidad del Caribe México,6
79,B28E-F8E515736A4E,Inducción a la normatividad de la Faciltad de Ingeniería,2020,Universidad Autónoma de San Luis Potosí  Facultad de Ingeniería México,10
80,B28E-F8E515736A4E,Legislación Universitaria,2018,Universidad Autónoma de San Luis Potosí  Facultad de Ingeniería México,30
88,8B57-58A0B378F8A1,Broad Argon Tool for EBSD Preparation,2021,EDAX USA,2
89,91D7-34FF3F297B62,Diplomado en Normatividad Aplicable a la Evaluación de Impacto Ambiental,2017,IPICYT México,60
90,91D7-34FF3F297B62,Diplomado en Evaluación y Análisis de Riesgos Ambientales en Instalaciones Industriales  Comerciales y de Servicios,2017,IPICYT México,60
91,91D7-34FF3F297B62,Diplomado en Administración de la Seguridad y Salud en el Trabajo (Nivel 2). ,2017,Universidad del Centro de México  México,130
92,8B57-58A0B378F8A1,Using EBSD to investigate steel microstructures,2021,EDAX-METEK USA,1
93,8B62-87B4C529460A,Worshop virtual para el vinculador UASLP,2021,División de Vinculación Universitaria México,10
94,8B55-2FD9C2CDB9DB,ePROTECT Infecciones respiratorias: Salud y seguridad ocupacional,2020,Organización Panamericana de la Salud México,2
95,8B55-2FD9C2CDB9DB,Introducción a la NORMA ISO 9001:2015,2019,Universidad Autónoma de San Luis Potosí México,12
96,BC92-8E3D54432C8E,Introducción a Vulcan,2016,Universidad Autónoma de San Luis Potosí México,32
97,BC92-8E3D54432C8E,Manejo y representación de información mediante el software Vulcan 10.1.1,2017,Universidad Autónoma de San Luis Potosí México,32
98,BC92-8E3D54432C8E,Primeros pasos con MS 3D,2019,MINESIGHT HEXAGON MINING México,40
99,BC92-8E3D54432C8E,Introducción a la norma ISO 9001:2015,2019,Universidad Autónoma de San Luis Potosí México,12
100,BC92-8E3D54432C8E,Geologic interpretation with MinePlan,2020,MINESIGHT HEXAGON MINING México,40
101,BC92-8E3D54432C8E,3D Block Modeling with MinePlan 3D,2021,MINESIGHT HEXAGON MINING México,40
102,A8DF-1E597B3CE75A,CURSO DE ALINEACIÓN DEL ESTANDAR EC0217,2020,UNIVERSIDAD AUTÓNOMA DE SAN LUIS POTOSÍ ESTADOS UNIDOS MEXICANOS,24
103,A8DF-1E597B3CE75A, DECLARACIÓN ANUAL DE PERSONAS MORALES 2019,2020,CONTADOR MX ESTADOS UNIDOS MEXICANOS,3
104,A8DF-1E597B3CE75A,NÓMINAS EN 2020  AJUSTES  ISR Y CORRECCIÓN DE ERRORES,2020,UNIVERSIDAD AUTÓNOMA DE SAN LUIS POTOSÍ ESTADOS UNIDOS MEXICANOS,3
105,A8DF-1E597B3CE75A,HERRAMIENTAS DIRECTIVAS,2016,UNIVERSIDAD AUTÓNOMA DE SAN LUIS POTOSÍ ESTADOS UNIDOS MEXICANOS,5
106,A8DF-1E597B3CE75A,FINANZAS PERSONALES,2016,ESCUELA BANCARIA Y COMERCIAL ESTADOS UNIDOS MEXICANOS,5
107,A8DF-1E597B3CE75A,FORMACIÓN DE CAPACITADORES,2015,DIRECCIÓN GENERAL DE CAPACITACIÓN DE LA SECRETARÍA DEL TRABAJO Y PREVISIÓN SOCIAL ESTADOS UNIDOS MEXICANOS,30
108,91D7-34FF3F297B62,El ABC de la Evaluación del Impacto Social (EVIS) en proyectos del sector energético,2020,UNAM México,20
109,91D7-34FF3F297B62,Curso: Responsabilidad Ambiental,2018,IUS Natura. Consultoría & Litigio S.C. (STPS. 14-22/07/18) México,16
110,91D7-34FF3F297B62,Curso: Justicia Ambiental. Taller Intermedio. Instrumentos Jurídico-Ambientales. ,2018,UASLP México,12
111,91D7-34FF3F297B62,Curso: ?Auxiell Lean Processes?. ,2017,UASLP México,30
112,91D7-34FF3F297B62,Curso Justicia Ambiental. Gestión y Aplicación de la Normativa Ambiental,2017,UASLP México,36
113,91D7-34FF3F297B62,Curso Movilidad Urbana Sustentable,2017,UASLP México,36
114,91D7-34FF3F297B62,Interpretación de la Norma ISO 14001:2015. ,2018,Sustineri. Consultaría y Proyectos Ambientales México,15
115,87F8-E1F97A6359BE,DIPLOMADO,2018,PODER JUDICIAL DE LA FEDERACION México,55
116,BCA4-02D1D7285BF0,Curso Taller de Habilidades Digitales,2018,Universidad Autónoma de San Luis Potosí México,30
117,BCA4-02D1D7285BF0,Curso Taller Gestión Social,2018,Universidad Autónoma de San Luis Potosí México,30
119,9AC3-2DA92C92DF7C,Curso de Metalurgia para Oro y Plata: Flotación  Molienda y Trituración.,2018,Compañia Minera Cuzcatlán México,32
120,9F2E-690464EFFA85,"Curso: ""Principios de geología aplicados a la industria minera""",2020,Industrias Peñoles y Fresnillo PLC.  México,20
121,9F2E-690464EFFA85,"Curso de capacitación: ""Llenado de la Cedula de Operación Anual (COA Estatal)""",2019,Secretaria de Ecología y Gestión Ambiental México,5
122,9F2E-690464EFFA85,"Curso: ""Manejo de materiales peligrosos y su normativa""",2017,Universidad Autónoma de San Luis Potosí/División de Desarrollo Humano México,5
123,9F2E-690464EFFA85,"Seminario: ""Escritura de textos científicos""",2016,NULL,35
124,9F2E-690464EFFA85,"Curso: ""Microscopia óptica""",2016,Universidad Autónoma de San Luis Potosí/Facultad de Medicina México,21
125,9F2E-690464EFFA85,"Curso: ""Uso del software especializado VULCAN""",2016,Universidad Autónoma de San Luis Potosí/Facultad de Ingeniería México,32
127,A5A7-43F2C26C43A5,Curso internacional Gestión de riesgos volcánicos,2020,Comite de Gestion de Riesgo de desastres de la World Federation of Engineering Organizations  Colegio de Ingenieros del Perú y la Asociación Latinoamericana de Volcanología Perú,20
128,A5A7-43F2C26C43A5,Curso Volcanología para la sociedad,2020,Volcanologia Chile  Explorock SAC Chile,27
